Lixo	it-codigo	desc-item	it-demanda	lote-economi	lote-minimo	lote-multipl	lote-mulven	peso-bruto	peso-liquido	pto-repos	quant-segur	tempo-segur	classif-abc	compr-fabric	data-implant	data-ult-ent	data-ult-sai	ge-codigo	lote-repos	ind-item-fat	desc-fam-comm	desc-fam-mat	desc-grp-estoq
		ITEM		1	1	1	1	0	0	0	0	7	3	1	01/01/23	?	?	99	0	yes		DEBITO DIRETO	DEBITO DIRETO
	100001	APARA ALTA DENSIDADE		0	1	0	1	0	0	0	0	7	3	1	01/05/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100002	APARA BAIXA DENSIDADE		0	0	0	0	0	0	0	0	7	3	1	01/05/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100003	APARA BAIXA DENSIDADE SEPARACAO		0	1	0	0	0	0	0	0	7	3	1	01/05/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100004	APARA CRISTAL BAIXA DENSIDADE		0	1	0	0	0	0	0	0	7	3	1	01/05/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100005	APARA LEITOSA BAIXA DENSIDADE		0	1	0	0	0	0	0	0	7	3	1	01/05/23	?	?	1	0	no		MATERIA PRIMA	MATERIA PRIMA
	100006	APARA PP		0	1	0	0	0	0	0	0	7	3	1	01/05/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100007	BORRA COLORIDA / SUCATA PL STICA		0	1	0	0	0	0	0	0	7	3	1	05/06/23	?	?	2	0	yes		MATERIA PRIMA	SEMI ACABADO
	100008	APARA PRETA - COD. 900		0	1	0	1	0	0	0	0	7	3	1	05/06/23	31/08/24	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100009	APARA AZUL - COD. 800		0	1	0	1	0	0	0	0	7	3	1	05/06/23	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100010	APARA SACOLA - COD. 530		0	1	0	1	0	0	0	0	7	3	1	05/06/23	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100011	APARA BOMLIXO PT - COD. 900B		0	1	0	1	0	0	0	0	7	3	1	05/06/23	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100012	APARA BOMLIXO AZ - COD. 800B		0	1	0	1	0	0	0	0	7	3	1	05/06/23	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100013	APARA SEPARADA PEBD		0	1	0	1	0	0	0	0	7	3	2	27/06/23	28/02/26	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100014	APARA TERCEIROS		0	1	0	1	0	0	0	0	7	3	1	06/07/23	?	?	97	0	yes		MATERIA PRIMA	MATERIAL TERCEIROS
	100015	BOBINA SACOLA VIRGEM AZUL 38X48 (MANAUS)		0	1	0	1	0	0	0	0	7	3	1	18/09/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100016	BOBINA SACOLA VIRGEM BRANCA 38X48 (MANAUS)		0	1	0	1	0	0	0	0	7	3	1	18/09/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100017	BOBINA SACOLA VIRGEM TRANSP 38X48 (MANAUS)		0	1	0	1	0	0	0	0	7	3	1	18/09/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100018	BOBINA PARA AL A FECHA FACIL LARANJA		0	1	0	1	0	0	0	0	7	3	1	18/09/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100019	BOBINA PARA AL A FECHA FACIL VERMELHA		0	1	0	1	0	0	0	0	7	3	1	19/10/23	31/08/24	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100020	APARA LEITOSA - GR O 100 / 240		0	1	0	1	0	0	0	0	7	3	1	17/11/23	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100021	APARA CANELA - GR O 600		0	1	0	1	0	0	0	0	7	3	1	17/11/23	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100022	APARA AZUL PEBD		0	0	0	0	0	0	0	0	7	3	1	02/12/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100023	APARA LEITOSA ALTA DENSIDADE (PEAD)		0	0	0	0	0	0	0	0	7	3	1	08/12/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100024	APARA CRISTAL ALTA DENSIDADE (PEAD)		0	0	0	0	0	0	0	0	7	3	1	08/12/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100025	APARA AZUL ALTA DENSIDADE (PEAD)		0	0	0	0	0	0	0	0	7	3	1	08/12/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100026	APARA LEITOSA SEPARA  O BAIXA DENSIDADE (PEBD)		0	0	0	0	0	0	0	0	7	3	1	08/12/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100027	APARA SACOLA VIRGEM AZUL (PEAD)		0	0	0	0	0	0	0	0	7	3	1	08/12/23	?	?	2	0	yes		MATERIA PRIMA	SEMI ACABADO
	100028	APARA SACOLA VIRGEM BRANCO (PEAD)		0	0	0	0	0	0	0	0	7	3	1	08/12/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100029	RESINA TX7003-PEBD		0	0	0	0	0	0	0	0	7	3	1	12/12/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100030	APARA SACARIA BAIXA DENSIDADE (PEBD)		0	0	0	0	0	0	0	0	7	3	1	18/12/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100031	APARA SACOLA VIRGEM TRANSPARENTE (PEAD)		0	0	0	0	0	0	0	0	7	3	1	27/12/23	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100032	SUCATA PL STICA DE GR OS PP		0	1	1	0	0	0	0	0	7	3	2	23/03/24	31/05/25	?	2	0	yes		SEMI ACABADO	SEMI ACABADO
	100033	APARA METALOCENO		0	0	0	0	0	0	0	0	7	3	1	05/07/24	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100034	RETRABALHO APARA PRETA - COD. 900		0	1	0	1	0	0	0	0	7	3	1	01/06/24	31/01/25	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100035	RETRABALHO APARA AZUL - COD. 800		0	1	0	1	0	0	0	0	7	3	1	01/06/24	31/08/25	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100036	RETRABALHO APARA LEITOSA - COD 100		0	1	0	1	0	0	0	0	7	3	1	01/06/24	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100037	RETRABALHO APARA CANELA - COD. 600		0	1	0	1	0	0	0	0	7	3	1	01/06/24	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100038	RETRABALHO APARA ALTA SACOLA AZUL VIRGEM		0	1	0	1	0	0	0	0	7	3	1	12/08/24	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100039	RETRABALHO APARA ALTA SACOLA BRANCA VIRGEM		0	1	0	1	0	0	0	0	7	3	1	12/08/24	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100040	RETRABALHO APARA ALTA SACOLA TRANSP. VIRGEM		0	1	0	1	0	0	0	0	7	3	1	12/08/24	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100041	RETRABALHO APARA BORRA - COD. 300		0	1	0	1	0	0	0	0	7	3	1	12/08/24	?	?	2	0	no		MATERIA PRIMA	SEMI ACABADO
	100042	SUCATA DE PLASTICO TIPO A - VITOPLAST		0	0	0	0	0	0	0	0	7	3	1	23/09/24	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100043	SUCATA PL STICA		0	1	1	0	0	0	0	0	7	3	1	20/12/24	?	?	2	0	yes		SEMI ACABADO	SEMI ACABADO
	100044	SUCATA PL STICA DE GR OS BORRA		0	1	1	0	0	0	0	0	7	3	2	14/01/25	31/08/25	?	2	0	yes		SEMI ACABADO	SEMI ACABADO
	100045	APARA BAIXA DENSIDADE - LAMINADA		0	1	0	0	0	0	0	0	7	3	1	24/01/25	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100046	GRANULADO PEBD CANELA		0	1	0	1	0	0	0	0	7	3	1	13/03/25	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100047	GRANULADO PEBD COLORIDO		0	1	0	1	0	0	0	0	7	3	1	13/03/25	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100048	GRANULADO PEBD VERDE		0	1	0	1	0	0	0	0	7	3	1	13/03/25	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100049	BOBINA AMOSTRA		0	1	1	1	0	0	0	0	7	3	1	01/04/25	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
	100050	BOBINA PARA AL A FECHA FACIL VERMELHA		0	1	0	1	0	0	0	0	7	3	1	02/04/25	?	?	1	0	yes		MATERIA PRIMA	MATERIA PRIMA
